plot ,rich,PTNcp,PTNncp,BMcp,BMncp,BMt,propcp,propncp,TNcp,TNncp,NUEcp,NUEncp,NUEt,sdi,isd,cheight3
a,2,0.5110,1.311,4776.8,2,4778.8,0.999581485,0.000418515,24.409448,0.02622,195.6947162,76.27765065,195.5665791,0.2416,42.75,190.7
b,2,0.5186,1.009,4032.2,13.2,4045.4,0.996737035,0.003262965,20.9109892,0.133188,192.8268415,99.10802775,192.2336978,0.495,28,179.9
c,2,0.5768,1.176,2764.4,307.5,3071.9,0.899899085,0.100100915,15.9450592,3.6162,173.370319,85.03401361,157.0399926,0.623,19.25,160.6
d,2,0.5687,1.479,4918.2,0.7,4918.9,0.999857692,0.000142308,27.9698034,0.010353,175.8396343,67.6132522,175.7995892,0.3707,36.75,198.3
e,3,0.5833,1.087,NA,20.9,NA,NA,NA,NA,0.227183,NA,91.99632015,NA,0.5904,27.75,204.8
f,3,0.6136,0.7118,4581.6,65.7,4647.3,0.985862759,0.014137241,28.1126976,0.4676526,162.9726206,140.4889014,162.6047255,0.554,27.75,197.8
g,3,0.6870,1.247,985.9,8.4,994.3,0.991551846,0.008448154,6.773133,0.104748,145.5604076,80.19246191,144.564874,0.5093,16.25,141
h,3,0.4682,0.7462,3480.8,1281.3,4762.1,0.730938032,0.269061968,16.2971056,9.5610606,213.5839385,134.0123291,184.1623247,0.6807,32.75,177.7
i,5,0.6736,0.8745,3516.9,262.8,3779.7,0.930470672,0.069529328,23.6898384,2.298186,148.456057,114.3510577,145.4400666,0.6288,33,162.5
j,5,0.5364,0.9264,2564.9,NA,NA,NA,NA,13.7581236,NA,186.4280388,NA,NA,0.6824,14.25,188.4
k,5,0.7273,0.8402,5048.4,373.5,5421.9,0.93111271,0.06888729,36.7170132,3.138147,137.4948439,119.0192811,136.0401005,0.6177,29.75,217.1
l,5,0.7089,0.6810,5588.8,1178.4,6767.2,0.825865942,0.174134058,39.6190032,8.024904,141.0636197,146.8428781,142.0370494,0.7045,19.5,168.2
m,12,0.5393,0.9078,2796.5,582.2,3378.7,0.827685204,0.172314796,15.0815245,5.2852116,185.4255516,110.1564221,165.8930515,0.8226,18.5,162.2
n,12,0.5739,1.498,1728.8,1986.7,3715.5,0.465294038,0.534705962,9.9215832,29.760766,174.2463844,66.75567423,93.63104944,0.5726,10,194.8
o,12,0.8039,0.8508,1833.1,1853.4,3686.5,0.497246711,0.502753289,14.7362909,15.7687272,124.3935813,117.5364363,120.8489694,0.8616,12.75,135.6
p ,12,0.5020,0.7151,3658.5,1022,4680.5,0.78164726,0.21835274,18.36567,7.308322,199.2031873,139.8405817,182.3051125,0.7397,22.75,170.9
