plot,date,cn,rich,ptc,ptn,wweight,dweight,pmoist,sdi,isd,cheight,fheight,sheight,theight
a,1,13.07689748,2,40.39,3.603,88.386,15.9,82.01,0.2416,42.75,120.8,132.6666667,121,123.6666667
b,1,15.86847624,2,39.49,2.903,29.601,5.3,82.1,0.495,28,105.8,102.6666667,127.6666667,71.66666667
c,1,13.95845343,2,39.2,3.276,74.14,12.9,82.6,0.623,19.25,102.5,126,65.33333333,109
d,1,14.23715146,2,40.3,3.302,61.936,12,80.63,0.3707,36.75,131,129,137.6666667,122
e,1,14.32337345,3,39.66,3.23,73.937,13.5,81.74,0.5904,27.75,122.3,112,136.3333333,110.6666667
f,1,14.98648759,3,40.16,3.126,92.686,17.89,80.7,0.554,27.75,116,107.6666667,110.6666667,121.6666667
g,1,15.56571892,3,38.87,2.913,49.946,10.2,79.58,0.5093,16.25,78.2,71.33333333,73.33333333,89.33333333
h,1,14.67973514,3,39.64,3.15,46.726,8.1,82.66,0.6807,32.75,114.9,111.3333333,139,109.3333333
i,1,14.33516192,5,39.41,3.207,77.74,13.6,82.51,0.6288,33,104.1,124.3333333,108,78.66666667
j,1,13.08313997,5,39.77,3.546,65.645,11.4,82.63,0.6824,14.25,123,121.6666667,131.6666667,113.3333333
k,1,15.28204121,5,40.69,3.106,86.286,16.5,80.88,0.6177,29.75,133.8,135.3333333,145,129.6666667
l,1,14.78339141,5,40.11,3.165,77.36,14.9,80.74,0.7045,19.5,108.7,116,119,101.6666667
m,1,16.10762775,12,39.16,2.836,40.803,6.7,83.58,0.8226,18.5,108.7,90,132.6666667,106
n,1,13.767742,12,40.6,3.44,76.828,15,80.48,0.5726,10,123.8,116.3333333,116,136.6666667
o,1,15.24689313,12,39.59,3.029,40.18,7.1,82.33,0.8616,12.75,94.5,92.66666667,85.66666667,103
p,1,17.68406647,12,39.9,2.632,41.302,7.7,81.36,0.7397,22.75,108.2,91,111,115
a,2,15.87156368,2,42.11,3.095,59.793,11,81.6,0.2416,42.75,160.9,179.3333333,156.3333333,162
b,2,20.80341772,2,41.16,2.308,38.129,6.9,81.9,0.495,28,147.7,143.3333333,127.6666667,149.3333333
c,2,19.4680436,2,40.07,2.401,23.002,4.4,80.87,0.623,19.25,146.3,182.6666667,87.33333333,157.6666667
d,2,16.96615587,2,40.52,2.786,108.291,21.4,80.24,0.3707,36.75,179.2,174.3333333,184.6666667,167.6666667
e,2,17.25515112,3,41.58,2.811,73.206,14.3,80.47,0.5904,27.75,170.5,150.3333333,201.6666667,148
f,2,18.23486206,3,40.58,2.596,59.441,10.5,82.34,0.554,27.75,168.4,164,149,177
g,2,16.88810474,3,40.71,2.812,96.96,20.1,79.27,0.5093,16.25,97.9,72,123.6666667,98.66666667
h,2,17.85883803,3,40.08,2.618,73.815,14.7,80.09,0.6807,32.75,154.2,151.6666667,187.6666667,150.3333333
i,2,18.75467497,5,40.74,2.534,68.463,12.6,81.6,0.6288,33,144.6,168.6666667,183.3333333,89.66666667
j,2,15.50112428,5,40.29,3.032,65.68,12.2,81.43,0.6824,14.25,163.9,170,167.6666667,149.3333333
k,2,18.42050749,5,41.23,2.611,85.162,15.8,81.45,0.6177,29.75,187.8,198.6666667,197.3333333,178.3333333
l,2,15.99866269,5,40.39,2.945,102.582,19.6,80.89,0.7045,19.5,145.6,145,192.6666667,117.6666667
m,2,17.4957396,12,40.15,2.677,110.807,19.9,82.04,0.8226,18.5,141.8,115.6666667,164.6666667,146.6666667
n,2,16.63458862,12,40.27,2.824,77.912,16.7,78.57,0.5726,10,164.4,162.3333333,174.3333333,155.6666667
o,2,17.36050573,12,41.06,2.759,44.819,9.2,79.47,0.8616,12.75,118.4,120,126,100
p,2,19.19490951,12,39.08,2.375,49.164,9.9,79.86,0.7397,22.75,140.3,118.6666667,134.6666667,154
a,3,17.0363099,2,37.46,2.565,75.261,14.6,80.6,0.2416,42.75,190.7,219.6666667,173.3333333,195
b,3,16.19868458,2,37.84,2.725,26.316,4.8,81.76,0.495,28,179.9,176,156.3333333,180.6666667
c,3,19.93788827,2,37.67,2.204,44.73,10.4,76.75,0.623,19.25,160.6,195.3333333,123.6666667,142
d,3,18.38945471,2,37.85,2.401,55.125,12.7,76.96,0.3707,36.75,198.3,192.6666667,210,177.6666667
e,3,17.87414327,3,38.72,2.527,56.678,14.9,73.71,0.5904,27.75,204.8,183.6666667,235.6666667,184.3333333
f,3,17.94695439,3,37.17,2.416,68.902,15.9,76.92,0.554,27.75,197.8,203,156.3333333,214.6666667
